layer_id,layer_kind,date,issue_date,valid_date,tipo,dia,forecast_day,forecast_label,area,area_label,file_type,source_file,url,bounds_json,source_crs,render_crs,source_extent_json,render_extent_json,raster_ncol,raster_nrow,raster_res_x,raster_res_y,legend_labels,legend_colours,style_source
aemet_2026_09_02_p_previsto_d2_aemet_incendios_20260902_p_previsto_d2,image,2026-09-02,2026-09-01,2026-09-02,previsto,2,2,Día 2,p,Península y Baleares,raster,data/raw/aemet/aemet_incendios_20260902_p_previsto_d2.tif,assets/aemet/aemet_2026_09_02_p_previsto_d2_aemet_incendios_20260902_p_previsto_d2.png,"[[34.9966,-10.205],[44.215,5.2055]]","GEOGCRS[""WGS 84"",
    ENSEMBLE[""World Geodetic System 1984 ensemble"",
        MEMBER[""World Geodetic System 1984 (Transit)""],
        MEMBER[""World Geodetic System 1984 (G730)""],
        MEMBER[""World Geodetic System 1984 (G873)""],
        MEMBER[""World Geodetic System 1984 (G1150)""],
        MEMBER[""World Geodetic System 1984 (G1674)""],
        MEMBER[""World Geodetic System 1984 (G1762)""],
        MEMBER[""World Geodetic System 1984 (G2139)""],
        ELLIPSOID[""WGS 84"",6378137,298.257223563,
            LENGTHUNIT[""metre"",1]],
        ENSEMBLEACCURACY[2.0]],
    PRIMEM[""Greenwich"",0,
        ANGLEUNIT[""degree"",0.0174532925199433]],
    CS[ellipsoidal,2],
        AXIS[""geodetic latitude (Lat)"",north,
            ORDER[1],
            ANGLEUNIT[""degree"",0.0174532925199433]],
        AXIS[""geodetic longitude (Lon)"",east,
            ORDER[2],
            ANGLEUNIT[""degree"",0.0174532925199433]],
    USAGE[
        SCOPE[""Horizontal component of 3D system.""],
        AREA[""World.""],
        BBOX[-90,-180,90,180]],
    ID[""EPSG"",4326]]",EPSG:3857,"{""xmin"":-10.205,""xmax"":5.205,""ymin"":34.995,""ymax"":44.215}","{""xmin"":-1136015.4035,""xmax"":579478.1526,""ymin"":4163425.5357,""ymax"":5498774.4365}",1417,1103,1210.6517686339482,1210.651768633948,Muy bajo|Bajo|Moderado|Alto|Muy alto|Extremo,#4B96E3|#51D1F6|#57E520|#F9FB2F|#EF8504|#F52300,AEMET GeoTIFF ESCALA (GDAL)
aemet_2026_09_03_p_previsto_d3_aemet_incendios_20260903_p_previsto_d3,image,2026-09-03,2026-09-01,2026-09-03,previsto,3,3,Día 3,p,Península y Baleares,raster,data/raw/aemet/aemet_incendios_20260903_p_previsto_d3.tif,assets/aemet/aemet_2026_09_03_p_previsto_d3_aemet_incendios_20260903_p_previsto_d3.png,"[[34.9966,-10.205],[44.215,5.2055]]","GEOGCRS[""WGS 84"",
    ENSEMBLE[""World Geodetic System 1984 ensemble"",
        MEMBER[""World Geodetic System 1984 (Transit)""],
        MEMBER[""World Geodetic System 1984 (G730)""],
        MEMBER[""World Geodetic System 1984 (G873)""],
        MEMBER[""World Geodetic System 1984 (G1150)""],
        MEMBER[""World Geodetic System 1984 (G1674)""],
        MEMBER[""World Geodetic System 1984 (G1762)""],
        MEMBER[""World Geodetic System 1984 (G2139)""],
        ELLIPSOID[""WGS 84"",6378137,298.257223563,
            LENGTHUNIT[""metre"",1]],
        ENSEMBLEACCURACY[2.0]],
    PRIMEM[""Greenwich"",0,
        ANGLEUNIT[""degree"",0.0174532925199433]],
    CS[ellipsoidal,2],
        AXIS[""geodetic latitude (Lat)"",north,
            ORDER[1],
            ANGLEUNIT[""degree"",0.0174532925199433]],
        AXIS[""geodetic longitude (Lon)"",east,
            ORDER[2],
            ANGLEUNIT[""degree"",0.0174532925199433]],
    USAGE[
        SCOPE[""Horizontal component of 3D system.""],
        AREA[""World.""],
        BBOX[-90,-180,90,180]],
    ID[""EPSG"",4326]]",EPSG:3857,"{""xmin"":-10.205,""xmax"":5.205,""ymin"":34.995,""ymax"":44.215}","{""xmin"":-1136015.4035,""xmax"":579478.1526,""ymin"":4163425.5357,""ymax"":5498774.4365}",1417,1103,1210.6517686339482,1210.651768633948,Muy bajo|Bajo|Moderado|Alto|Muy alto|Extremo,#4B96E3|#51D1F6|#57E520|#F9FB2F|#EF8504|#F52300,AEMET GeoTIFF ESCALA (GDAL)
aemet_2026_09_04_p_previsto_d4_aemet_incendios_20260904_p_previsto_d4,image,2026-09-04,2026-09-01,2026-09-04,previsto,4,4,Día 4,p,Península y Baleares,raster,data/raw/aemet/aemet_incendios_20260904_p_previsto_d4.tif,assets/aemet/aemet_2026_09_04_p_previsto_d4_aemet_incendios_20260904_p_previsto_d4.png,"[[34.9966,-10.205],[44.215,5.2055]]","GEOGCRS[""WGS 84"",
    ENSEMBLE[""World Geodetic System 1984 ensemble"",
        MEMBER[""World Geodetic System 1984 (Transit)""],
        MEMBER[""World Geodetic System 1984 (G730)""],
        MEMBER[""World Geodetic System 1984 (G873)""],
        MEMBER[""World Geodetic System 1984 (G1150)""],
        MEMBER[""World Geodetic System 1984 (G1674)""],
        MEMBER[""World Geodetic System 1984 (G1762)""],
        MEMBER[""World Geodetic System 1984 (G2139)""],
        ELLIPSOID[""WGS 84"",6378137,298.257223563,
            LENGTHUNIT[""metre"",1]],
        ENSEMBLEACCURACY[2.0]],
    PRIMEM[""Greenwich"",0,
        ANGLEUNIT[""degree"",0.0174532925199433]],
    CS[ellipsoidal,2],
        AXIS[""geodetic latitude (Lat)"",north,
            ORDER[1],
            ANGLEUNIT[""degree"",0.0174532925199433]],
        AXIS[""geodetic longitude (Lon)"",east,
            ORDER[2],
            ANGLEUNIT[""degree"",0.0174532925199433]],
    USAGE[
        SCOPE[""Horizontal component of 3D system.""],
        AREA[""World.""],
        BBOX[-90,-180,90,180]],
    ID[""EPSG"",4326]]",EPSG:3857,"{""xmin"":-10.205,""xmax"":5.205,""ymin"":34.995,""ymax"":44.215}","{""xmin"":-1136015.4035,""xmax"":579478.1526,""ymin"":4163425.5357,""ymax"":5498774.4365}",1417,1103,1210.6517686339482,1210.651768633948,Muy bajo|Bajo|Moderado|Alto|Muy alto|Extremo,#4B96E3|#51D1F6|#57E520|#F9FB2F|#EF8504|#F52300,AEMET GeoTIFF ESCALA (GDAL)
aemet_2026_09_05_p_previsto_d5_aemet_incendios_20260905_p_previsto_d5,image,2026-09-05,2026-09-01,2026-09-05,previsto,5,5,Día 5,p,Península y Baleares,raster,data/raw/aemet/aemet_incendios_20260905_p_previsto_d5.tif,assets/aemet/aemet_2026_09_05_p_previsto_d5_aemet_incendios_20260905_p_previsto_d5.png,"[[34.9966,-10.205],[44.215,5.2055]]","GEOGCRS[""WGS 84"",
    ENSEMBLE[""World Geodetic System 1984 ensemble"",
        MEMBER[""World Geodetic System 1984 (Transit)""],
        MEMBER[""World Geodetic System 1984 (G730)""],
        MEMBER[""World Geodetic System 1984 (G873)""],
        MEMBER[""World Geodetic System 1984 (G1150)""],
        MEMBER[""World Geodetic System 1984 (G1674)""],
        MEMBER[""World Geodetic System 1984 (G1762)""],
        MEMBER[""World Geodetic System 1984 (G2139)""],
        ELLIPSOID[""WGS 84"",6378137,298.257223563,
            LENGTHUNIT[""metre"",1]],
        ENSEMBLEACCURACY[2.0]],
    PRIMEM[""Greenwich"",0,
        ANGLEUNIT[""degree"",0.0174532925199433]],
    CS[ellipsoidal,2],
        AXIS[""geodetic latitude (Lat)"",north,
            ORDER[1],
            ANGLEUNIT[""degree"",0.0174532925199433]],
        AXIS[""geodetic longitude (Lon)"",east,
            ORDER[2],
            ANGLEUNIT[""degree"",0.0174532925199433]],
    USAGE[
        SCOPE[""Horizontal component of 3D system.""],
        AREA[""World.""],
        BBOX[-90,-180,90,180]],
    ID[""EPSG"",4326]]",EPSG:3857,"{""xmin"":-10.205,""xmax"":5.205,""ymin"":34.995,""ymax"":44.215}","{""xmin"":-1136015.4035,""xmax"":579478.1526,""ymin"":4163425.5357,""ymax"":5498774.4365}",1417,1103,1210.6517686339482,1210.651768633948,Muy bajo|Bajo|Moderado|Alto|Muy alto|Extremo,#4B96E3|#51D1F6|#57E520|#F9FB2F|#EF8504|#F52300,AEMET GeoTIFF ESCALA (GDAL)
aemet_2026_09_06_p_previsto_d6_aemet_incendios_20260906_p_previsto_d6,image,2026-09-06,2026-09-01,2026-09-06,previsto,6,6,Día 6,p,Península y Baleares,raster,data/raw/aemet/aemet_incendios_20260906_p_previsto_d6.tif,assets/aemet/aemet_2026_09_06_p_previsto_d6_aemet_incendios_20260906_p_previsto_d6.png,"[[34.9966,-10.205],[44.215,5.2055]]","GEOGCRS[""WGS 84"",
    ENSEMBLE[""World Geodetic System 1984 ensemble"",
        MEMBER[""World Geodetic System 1984 (Transit)""],
        MEMBER[""World Geodetic System 1984 (G730)""],
        MEMBER[""World Geodetic System 1984 (G873)""],
        MEMBER[""World Geodetic System 1984 (G1150)""],
        MEMBER[""World Geodetic System 1984 (G1674)""],
        MEMBER[""World Geodetic System 1984 (G1762)""],
        MEMBER[""World Geodetic System 1984 (G2139)""],
        ELLIPSOID[""WGS 84"",6378137,298.257223563,
            LENGTHUNIT[""metre"",1]],
        ENSEMBLEACCURACY[2.0]],
    PRIMEM[""Greenwich"",0,
        ANGLEUNIT[""degree"",0.0174532925199433]],
    CS[ellipsoidal,2],
        AXIS[""geodetic latitude (Lat)"",north,
            ORDER[1],
            ANGLEUNIT[""degree"",0.0174532925199433]],
        AXIS[""geodetic longitude (Lon)"",east,
            ORDER[2],
            ANGLEUNIT[""degree"",0.0174532925199433]],
    USAGE[
        SCOPE[""Horizontal component of 3D system.""],
        AREA[""World.""],
        BBOX[-90,-180,90,180]],
    ID[""EPSG"",4326]]",EPSG:3857,"{""xmin"":-10.205,""xmax"":5.205,""ymin"":34.995,""ymax"":44.215}","{""xmin"":-1136015.4035,""xmax"":579478.1526,""ymin"":4163425.5357,""ymax"":5498774.4365}",1417,1103,1210.6517686339482,1210.651768633948,Muy bajo|Bajo|Moderado|Alto|Muy alto|Extremo,#4B96E3|#51D1F6|#57E520|#F9FB2F|#EF8504|#F52300,AEMET GeoTIFF ESCALA (GDAL)
aemet_2026_09_07_p_previsto_d7_aemet_incendios_20260907_p_previsto_d7,image,2026-09-07,2026-09-01,2026-09-07,previsto,7,7,Día 7,p,Península y Baleares,raster,data/raw/aemet/aemet_incendios_20260907_p_previsto_d7.tif,assets/aemet/aemet_2026_09_07_p_previsto_d7_aemet_incendios_20260907_p_previsto_d7.png,"[[34.9966,-10.205],[44.215,5.2055]]","GEOGCRS[""WGS 84"",
    ENSEMBLE[""World Geodetic System 1984 ensemble"",
        MEMBER[""World Geodetic System 1984 (Transit)""],
        MEMBER[""World Geodetic System 1984 (G730)""],
        MEMBER[""World Geodetic System 1984 (G873)""],
        MEMBER[""World Geodetic System 1984 (G1150)""],
        MEMBER[""World Geodetic System 1984 (G1674)""],
        MEMBER[""World Geodetic System 1984 (G1762)""],
        MEMBER[""World Geodetic System 1984 (G2139)""],
        ELLIPSOID[""WGS 84"",6378137,298.257223563,
            LENGTHUNIT[""metre"",1]],
        ENSEMBLEACCURACY[2.0]],
    PRIMEM[""Greenwich"",0,
        ANGLEUNIT[""degree"",0.0174532925199433]],
    CS[ellipsoidal,2],
        AXIS[""geodetic latitude (Lat)"",north,
            ORDER[1],
            ANGLEUNIT[""degree"",0.0174532925199433]],
        AXIS[""geodetic longitude (Lon)"",east,
            ORDER[2],
            ANGLEUNIT[""degree"",0.0174532925199433]],
    USAGE[
        SCOPE[""Horizontal component of 3D system.""],
        AREA[""World.""],
        BBOX[-90,-180,90,180]],
    ID[""EPSG"",4326]]",EPSG:3857,"{""xmin"":-10.205,""xmax"":5.205,""ymin"":34.995,""ymax"":44.215}","{""xmin"":-1136015.4035,""xmax"":579478.1526,""ymin"":4163425.5357,""ymax"":5498774.4365}",1417,1103,1210.6517686339482,1210.651768633948,Muy bajo|Bajo|Moderado|Alto|Muy alto|Extremo,#4B96E3|#51D1F6|#57E520|#F9FB2F|#EF8504|#F52300,AEMET GeoTIFF ESCALA (GDAL)
aemet_2026_09_08_p_previsto_d8_aemet_incendios_20260908_p_previsto_d8,image,2026-09-08,2026-09-01,2026-09-08,previsto,8,8,Día 8,p,Península y Baleares,raster,data/raw/aemet/aemet_incendios_20260908_p_previsto_d8.tif,assets/aemet/aemet_2026_09_08_p_previsto_d8_aemet_incendios_20260908_p_previsto_d8.png,"[[34.9966,-10.205],[44.215,5.2055]]","GEOGCRS[""WGS 84"",
    ENSEMBLE[""World Geodetic System 1984 ensemble"",
        MEMBER[""World Geodetic System 1984 (Transit)""],
        MEMBER[""World Geodetic System 1984 (G730)""],
        MEMBER[""World Geodetic System 1984 (G873)""],
        MEMBER[""World Geodetic System 1984 (G1150)""],
        MEMBER[""World Geodetic System 1984 (G1674)""],
        MEMBER[""World Geodetic System 1984 (G1762)""],
        MEMBER[""World Geodetic System 1984 (G2139)""],
        ELLIPSOID[""WGS 84"",6378137,298.257223563,
            LENGTHUNIT[""metre"",1]],
        ENSEMBLEACCURACY[2.0]],
    PRIMEM[""Greenwich"",0,
        ANGLEUNIT[""degree"",0.0174532925199433]],
    CS[ellipsoidal,2],
        AXIS[""geodetic latitude (Lat)"",north,
            ORDER[1],
            ANGLEUNIT[""degree"",0.0174532925199433]],
        AXIS[""geodetic longitude (Lon)"",east,
            ORDER[2],
            ANGLEUNIT[""degree"",0.0174532925199433]],
    USAGE[
        SCOPE[""Horizontal component of 3D system.""],
        AREA[""World.""],
        BBOX[-90,-180,90,180]],
    ID[""EPSG"",4326]]",EPSG:3857,"{""xmin"":-10.205,""xmax"":5.205,""ymin"":34.995,""ymax"":44.215}","{""xmin"":-1136015.4035,""xmax"":579478.1526,""ymin"":4163425.5357,""ymax"":5498774.4365}",1417,1103,1210.6517686339482,1210.651768633948,Muy bajo|Bajo|Moderado|Alto|Muy alto|Extremo,#4B96E3|#51D1F6|#57E520|#F9FB2F|#EF8504|#F52300,AEMET GeoTIFF ESCALA (GDAL)
aemet_2026_09_02_c_previsto_d2_aemet_incendios_20260902_c_previsto_d2,image,2026-09-02,2026-09-01,2026-09-02,previsto,2,2,Día 2,c,Canarias,raster,data/raw/aemet/aemet_incendios_20260902_c_previsto_d2.tif,assets/aemet/aemet_2026_09_02_c_previsto_d2_aemet_incendios_20260902_c_previsto_d2.png,"[[27.4946,-18.205],[29.515,-13.3919]]","GEOGCRS[""WGS 84"",
    ENSEMBLE[""World Geodetic System 1984 ensemble"",
        MEMBER[""World Geodetic System 1984 (Transit)""],
        MEMBER[""World Geodetic System 1984 (G730)""],
        MEMBER[""World Geodetic System 1984 (G873)""],
        MEMBER[""World Geodetic System 1984 (G1150)""],
        MEMBER[""World Geodetic System 1984 (G1674)""],
        MEMBER[""World Geodetic System 1984 (G1762)""],
        MEMBER[""World Geodetic System 1984 (G2139)""],
        ELLIPSOID[""WGS 84"",6378137,298.257223563,
            LENGTHUNIT[""metre"",1]],
        ENSEMBLEACCURACY[2.0]],
    PRIMEM[""Greenwich"",0,
        ANGLEUNIT[""degree"",0.0174532925199433]],
    CS[ellipsoidal,2],
        AXIS[""geodetic latitude (Lat)"",north,
            ORDER[1],
            ANGLEUNIT[""degree"",0.0174532925199433]],
        AXIS[""geodetic longitude (Lon)"",east,
            ORDER[2],
            ANGLEUNIT[""degree"",0.0174532925199433]],
    USAGE[
        SCOPE[""Horizontal component of 3D system.""],
        AREA[""World.""],
        BBOX[-90,-180,90,180]],
    ID[""EPSG"",4326]]",EPSG:3857,"{""xmin"":-18.205,""xmax"":-13.395,""ymin"":27.495,""ymax"":29.515}","{""xmin"":-2026571.3299,""xmax"":-1490782.1349,""ymin"":3185408.4677,""ymax"":3441358.72}",471,225,1137.5566771635963,1137.5566771635952,Muy bajo|Bajo|Moderado|Alto|Muy alto|Extremo,#4B96E3|#51D1F6|#57E520|#F9FB2F|#EF8504|#F52300,AEMET GeoTIFF ESCALA (GDAL)
aemet_2026_09_03_c_previsto_d3_aemet_incendios_20260903_c_previsto_d3,image,2026-09-03,2026-09-01,2026-09-03,previsto,3,3,Día 3,c,Canarias,raster,data/raw/aemet/aemet_incendios_20260903_c_previsto_d3.tif,assets/aemet/aemet_2026_09_03_c_previsto_d3_aemet_incendios_20260903_c_previsto_d3.png,"[[27.4946,-18.205],[29.515,-13.3919]]","GEOGCRS[""WGS 84"",
    ENSEMBLE[""World Geodetic System 1984 ensemble"",
        MEMBER[""World Geodetic System 1984 (Transit)""],
        MEMBER[""World Geodetic System 1984 (G730)""],
        MEMBER[""World Geodetic System 1984 (G873)""],
        MEMBER[""World Geodetic System 1984 (G1150)""],
        MEMBER[""World Geodetic System 1984 (G1674)""],
        MEMBER[""World Geodetic System 1984 (G1762)""],
        MEMBER[""World Geodetic System 1984 (G2139)""],
        ELLIPSOID[""WGS 84"",6378137,298.257223563,
            LENGTHUNIT[""metre"",1]],
        ENSEMBLEACCURACY[2.0]],
    PRIMEM[""Greenwich"",0,
        ANGLEUNIT[""degree"",0.0174532925199433]],
    CS[ellipsoidal,2],
        AXIS[""geodetic latitude (Lat)"",north,
            ORDER[1],
            ANGLEUNIT[""degree"",0.0174532925199433]],
        AXIS[""geodetic longitude (Lon)"",east,
            ORDER[2],
            ANGLEUNIT[""degree"",0.0174532925199433]],
    USAGE[
        SCOPE[""Horizontal component of 3D system.""],
        AREA[""World.""],
        BBOX[-90,-180,90,180]],
    ID[""EPSG"",4326]]",EPSG:3857,"{""xmin"":-18.205,""xmax"":-13.395,""ymin"":27.495,""ymax"":29.515}","{""xmin"":-2026571.3299,""xmax"":-1490782.1349,""ymin"":3185408.4677,""ymax"":3441358.72}",471,225,1137.5566771635963,1137.5566771635952,Muy bajo|Bajo|Moderado|Alto|Muy alto|Extremo,#4B96E3|#51D1F6|#57E520|#F9FB2F|#EF8504|#F52300,AEMET GeoTIFF ESCALA (GDAL)
aemet_2026_09_04_c_previsto_d4_aemet_incendios_20260904_c_previsto_d4,image,2026-09-04,2026-09-01,2026-09-04,previsto,4,4,Día 4,c,Canarias,raster,data/raw/aemet/aemet_incendios_20260904_c_previsto_d4.tif,assets/aemet/aemet_2026_09_04_c_previsto_d4_aemet_incendios_20260904_c_previsto_d4.png,"[[27.4946,-18.205],[29.515,-13.3919]]","GEOGCRS[""WGS 84"",
    ENSEMBLE[""World Geodetic System 1984 ensemble"",
        MEMBER[""World Geodetic System 1984 (Transit)""],
        MEMBER[""World Geodetic System 1984 (G730)""],
        MEMBER[""World Geodetic System 1984 (G873)""],
        MEMBER[""World Geodetic System 1984 (G1150)""],
        MEMBER[""World Geodetic System 1984 (G1674)""],
        MEMBER[""World Geodetic System 1984 (G1762)""],
        MEMBER[""World Geodetic System 1984 (G2139)""],
        ELLIPSOID[""WGS 84"",6378137,298.257223563,
            LENGTHUNIT[""metre"",1]],
        ENSEMBLEACCURACY[2.0]],
    PRIMEM[""Greenwich"",0,
        ANGLEUNIT[""degree"",0.0174532925199433]],
    CS[ellipsoidal,2],
        AXIS[""geodetic latitude (Lat)"",north,
            ORDER[1],
            ANGLEUNIT[""degree"",0.0174532925199433]],
        AXIS[""geodetic longitude (Lon)"",east,
            ORDER[2],
            ANGLEUNIT[""degree"",0.0174532925199433]],
    USAGE[
        SCOPE[""Horizontal component of 3D system.""],
        AREA[""World.""],
        BBOX[-90,-180,90,180]],
    ID[""EPSG"",4326]]",EPSG:3857,"{""xmin"":-18.205,""xmax"":-13.395,""ymin"":27.495,""ymax"":29.515}","{""xmin"":-2026571.3299,""xmax"":-1490782.1349,""ymin"":3185408.4677,""ymax"":3441358.72}",471,225,1137.5566771635963,1137.5566771635952,Muy bajo|Bajo|Moderado|Alto|Muy alto|Extremo,#4B96E3|#51D1F6|#57E520|#F9FB2F|#EF8504|#F52300,AEMET GeoTIFF ESCALA (GDAL)
