admin_level,admin_id,admin_name,representative_lon,representative_lat,n_effis_30d,effis_area_ha_30d,n_effis_90d,effis_area_ha_90d,ultima_area_quemada,n_focos,n_ultimas_6h,n_ultimas_12h,n_ultimas_24h,n_ultimas_48h,frp_total_mw,frp_media_mw,frp_max_mw,edad_min_h,ultima_deteccion_utc,sensores,alerta_operativa
ccaa,ES61,Andalucía,-4.363390299247969,37.45482289233412,15,44529,60,60547,2026-08-25,0,0,0,0,0,0,0,0,NA,NA,,sin actividad
ccaa,ES24,Aragón,-0.8794346045817117,41.384674149328085,11,18994,32,45156,2026-08-26,0,0,0,0,0,0,0,0,NA,NA,,sin actividad
ccaa,ES70,Canarias,-16.591448301073914,28.258945604443113,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,,sin actividad
ccaa,ES13,Cantabria,-4.119514677304093,43.09049766606368,0,0,3,81,2026-07-28,0,0,0,0,0,0,0,0,NA,NA,,sin actividad
ccaa,ES41,Castilla y León,-4.473703797278533,41.76255261750092,12,2192,61,70970,2026-08-22,0,0,0,0,0,0,0,0,NA,NA,,sin actividad
ccaa,ES42,Castilla-La Mancha,-2.9569090248627234,39.63108872100555,4,46,36,40634,2026-08-17,0,0,0,0,0,0,0,0,NA,NA,,sin actividad
ccaa,ES51,Cataluña,1.7411242882920785,41.76405971940773,5,156,37,4299,2026-08-14,0,0,0,0,0,0,0,0,NA,NA,,sin actividad
ccaa,ES63,Ciudad de Ceuta,-5.347886399871487,35.890182697136225,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,,sin actividad
ccaa,ES64,Ciudad de Melilla,-2.9535015433143545,35.30569931352198,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,,sin actividad
ccaa,ES22,Comunidad Foral de Navarra,-1.7133469835891346,42.612898149208185,1,7,3,398,2026-08-15,0,0,0,0,0,0,0,0,NA,NA,,sin actividad
ccaa,ES30,Comunidad de Madrid,-3.8330806085002043,40.55067338400924,3,349,8,21190,2026-08-19,0,0,0,0,0,0,0,0,NA,NA,,sin actividad
ccaa,ES52,Comunitat Valenciana,-0.7426968072129708,39.26635350582293,5,1443,8,10876,2026-08-21,0,0,0,0,0,0,0,0,NA,NA,,sin actividad
ccaa,ES43,Extremadura,-5.994914523087172,39.258837910445074,17,6613,38,8853,2026-08-24,0,0,0,0,0,0,0,0,NA,NA,,sin actividad
ccaa,ES11,Galicia,-7.814712617296755,42.75466678990033,11,424,33,1932,2026-08-18,0,0,0,0,0,0,0,0,NA,NA,,sin actividad
ccaa,ES53,Illes Balears,2.8947689663727316,39.599776073537015,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,,sin actividad
ccaa,ES23,La Rioja,-2.544064794481323,42.27886588608102,1,6,4,302,2026-08-02,0,0,0,0,0,0,0,0,NA,NA,,sin actividad
ccaa,ES21,País Vasco,-2.520043041739153,42.98949557990759,2,112,4,228,2026-08-13,0,0,0,0,0,0,0,0,NA,NA,,sin actividad
ccaa,ES12,Principado de Asturias,-6.024514197961777,43.3164418093182,3,177,13,633,2026-08-11,0,0,0,0,0,0,0,0,NA,NA,,sin actividad
ccaa,ES62,Región de Murcia,-1.6464172523297969,38.04108415733831,2,351,4,505,2026-08-08,0,0,0,0,0,0,0,0,NA,NA,,sin actividad
