admin_level,admin_id,admin_name,representative_lon,representative_lat,n_effis_30d,effis_area_ha_30d,n_effis_90d,effis_area_ha_90d,ultima_area_quemada,n_focos,n_ultimas_6h,n_ultimas_12h,n_ultimas_24h,n_ultimas_48h,frp_total_mw,frp_media_mw,frp_max_mw,edad_min_h,ultima_deteccion_utc,sensores,alerta_operativa
ccaa,ES61,Andalucía,-4.363390299247969,37.45482289233412,21,6727,50,15183,2026-07-11,0,0,0,0,0,0,0,0,NA,NA,,sin actividad
ccaa,ES24,Aragón,-0.8794346045817117,41.384674149328085,14,24465,20,24583,2026-07-21,0,0,0,0,0,0,0,0,NA,NA,,sin actividad
ccaa,ES70,Canarias,-16.591448301073914,28.258945604443113,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,,sin actividad
ccaa,ES13,Cantabria,-4.119514677304093,43.09049766606368,2,73,7,205,2026-06-24,0,0,0,0,0,0,0,0,NA,NA,,sin actividad
ccaa,ES41,Castilla y León,-4.473703797278533,41.76255261750092,25,6446,32,6514,2026-07-20,0,0,0,0,0,0,0,0,NA,NA,,sin actividad
ccaa,ES42,Castilla-La Mancha,-2.9569090248627234,39.63108872100555,11,35180,23,35685,2026-07-18,0,0,0,0,0,0,0,0,NA,NA,,sin actividad
ccaa,ES51,Cataluña,1.7411242882920785,41.76405971940773,23,3844,26,3958,2026-07-12,0,0,0,0,0,0,0,0,NA,NA,,sin actividad
ccaa,ES63,Ciudad de Ceuta,-5.347886399871487,35.890182697136225,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,,sin actividad
ccaa,ES64,Ciudad de Melilla,-2.9535015433143545,35.30569931352198,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,,sin actividad
ccaa,ES22,Comunidad Foral de Navarra,-1.7133469835891346,42.612898149208185,2,381,2,381,2026-07-14,0,0,0,0,0,0,0,0,NA,NA,,sin actividad
ccaa,ES30,Comunidad de Madrid,-3.8330806085002043,40.55067338400924,3,494,4,514,2026-07-16,0,0,0,0,0,0,0,0,NA,NA,,sin actividad
ccaa,ES52,Comunitat Valenciana,-0.7426968072129708,39.26635350582293,2,211,2,211,2026-07-05,0,0,0,0,0,0,0,0,NA,NA,,sin actividad
ccaa,ES43,Extremadura,-5.994914523087172,39.258837910445074,9,1121,29,4393,2026-07-12,0,0,0,0,0,0,0,0,NA,NA,,sin actividad
ccaa,ES11,Galicia,-7.814712617296755,42.75466678990033,9,528,20,1369,2026-07-15,0,0,0,0,0,0,0,0,NA,NA,,sin actividad
ccaa,ES53,Illes Balears,2.8947689663727316,39.599776073537015,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,,sin actividad
ccaa,ES23,La Rioja,-2.544064794481323,42.27886588608102,2,238,3,296,2026-07-10,0,0,0,0,0,0,0,0,NA,NA,,sin actividad
ccaa,ES21,País Vasco,-2.520043041739153,42.98949557990759,2,117,3,123,2026-07-06,0,0,0,0,0,0,0,0,NA,NA,,sin actividad
ccaa,ES12,Principado de Asturias,-6.024514197961777,43.3164418093182,7,366,15,537,2026-07-12,0,0,0,0,0,0,0,0,NA,NA,,sin actividad
ccaa,ES62,Región de Murcia,-1.6464172523297969,38.04108415733831,1,10,2,154,2026-07-07,0,0,0,0,0,0,0,0,NA,NA,,sin actividad
